Product|PricePerPound|Quant|PricePerThing
Stonyfield Organic French Vanilla Whole Milk Yogurt|None|32 ounces|5.00
BelGioioso Cheese, Freshly Shredded, Parmesan|None|5 ounces|3.36
Muir Glen Organic Tomato Paste|None|6 ounces|1.52
Muir Glen Organic Tomatoes, Diced, No Salt Added|None|14.5 ounces|2.34
Nongshim Noodle Soup, Bowl, Hot & Spicy Flavor|None|3.03 ounces|1.52
Ruffles Original Potato Chips|None|9 ounces|4.39
Barilla Gemelli, No. 90|None|1 pound|2.03
Organic Golden Delicious Apples|1.49|None|None
De Cecco Spaghetti, No. 12|None|1 pound|1.99
Kerrygold Butter, Pure Irish|None|8 ounces|3.77
Nasoya Organic Extra Firm Tofu|None|14 ounces|3.06
Alessi White Bean Soup, Premium, Tuscan, Zuppa Toscana|None|6 ounces|3.06
Essentia Purified Water|None|1 liter|2.79
Kitchen Basics Unsalted Vegetable Stock|None|32 ounces|3.67
Chaokoh Coconut Milk|None|13.5 ounces|2.14
C&W Ultimate Petite Mixed Vegetables|None|None|4.08
Amys Organic Soup, Lentil|None|14.5 ounces|3.57
Aseltines Apple Cider|None|None|3.49
Cascadian Farm Edamame, Premium Organic|None|10 ounces|3.36
Martinellis Gold Medal 100% Juice, Pure Apple|None|1.5 liters|7.15
Tate's Bake Shop Double Chocolate Chip Cookies|None|7 ounces|5.09
Cedars Salad, Chickpea|None|8 ounces|4.08
Organic Green Seedless Grapes|2.99|None|None
Kitchen Basics Chicken Stock, Original, for Cooking|None|32 ounces|3.36
Genova Tuna In Olive Oil, Solid Light|None|None|2.03
Ka Me Original Rice Crackers|None|3.5 ounces|3.36
Thai Kitchen Noodles, Thin Rice|None|8.8 ounces|2.85
Organic Baby Carrots|None|None|1.99
Turnip Greens|0.79|None|None
Kerrygold Unsalted Pure Irish Butter|None|8 ounces|3.77
Greek Gods Yogurt, Greek Style, Honey Vanilla|None|24 ounces|4.69
Kettle Potato Chips, Sea Salt|None|2 ounces|1.52
Cibo Naturals Pesto, Basil|None|6 ounces|5.00
Organic Collard Greens|None|None|1.99
Naked Boosted 100% Juice Smoothie, Green Machine|None|32 ounces|6.12
Organic Kale|None|None|1.99
Cruz De Malta Herbal Tea, Traditional Yerba Mate|None|17.6 ounces|7.15
Haagen Dazs Ice Cream, Caramel Cone|None|14 ounces|5.10
Florida's Natural Premium Orange Juice No Pulp|None|59 ounces|5.10
Spice Supreme Oregano Leaves|None|0.75 ounces|1.01
El Milagro Tortilla Chips, Mexican Kitchen Style|None|16 ounces|3.57
Oregano|13.99|None|None
Montchevre Fresh Goat Cheese, Natural|None|4 ounces|3.57
Lightlife Meatless Smart Deli Veggie Turkey Slices|None|5.5 ounces|4.08
Amy's Chili Mac Bowls|None|9 ounces|5.92
Stonyfield Farm Organic Yogurt, Whole Milk, Smooth & Creamy, Plain|None|32 ounces|5.00
Haagen Dazs Ice Cream, Cherry Vanilla|None|14 ounces|5.10
V8 100% Juice, Vegetable, Original|None|12 ounces|1.73
Diamond Crystal Salt, Kosher|None|48 ounces|4.08
Jarritos Soda, Lime|None|12.5 ounces|1.09
Organic Navel Oranges|1.99|None|None
Beyond Meat Beef|None|16 ounces|11.69
Barilla Spaghetti, No. 5|None|1 pound|2.03
Andrew & Everett Cheese, Thin Sliced Provolone|None|7 ounces|4.49
La Preferida Fajita Seasoning|None|1.25 ounces|0.91
Greek Gods Yogurt, Greek Style, Honey Blueberry Flavored|None|24 ounces|4.69
Chobani Nonfat Greek Yogurt with Pomegranate on the Bottom|None|5.3 ounces|1.01
Chobani Nonfat Greek Yogurt with Raspberry on the Bottom|None|5.3 ounces|1.01
Natures Path Cereal, Corn Flakes, Fruit Juice|None|10.6 ounces|5.61
Sabra Hummus, Spinach and Artichoke|None|10 ounces|3.67
Simply Orange 100% Juice, Orange, High Pulp|None|59 ounces|5.79
Boar's Head Cajun Style Smoked Oven Roasted Turkey Breast|9.71|None|None
Cedars Wraps, Thin White|None|10 ounces|1.52
Sage|13.99|None|None
Beefsteak Bread, Soft Rye, No Seeds|None|18 ounces|3.88
Organic Yellow Peppers|1.99|None|None
Brownberry Natural Health Nut 100% All Natural Bread|None|None|3.89
Nasoya Organic Firm Tofu|None|14 ounces|3.06
La Preferida Black Beans|None|15 ounces|1.32
Barilla Sauce, Tomato & Basil|None|24 ounces|3.06
Ruffles Potato Chips Cheddar & Sour Cream|None|8.5 ounces|4.39
Sabra Hummus, Roasted Red Pepper|None|10 ounces|3.67
Supreme Choice Salmon, Boneless, Fillets|None|16 ounces|7.15
Udis Gluten Free Hamburger Buns, Classic|None|10.4 ounces|5.31
Applegate Naturals Chicken Nuggets, Gluten-Free|None|8 ounces|7.45
Pears Bosc|1.49|None|None
Kitchen Basics Unsalted Chicken Stock for Cooking|None|32 ounces|3.36
Brownberry Bread Natural Wheat 100% All Natural|None|None|3.89
Boars Head Bianco D'oro Salame, Italian Dry|None|7 ounces|7.15
Amys Soup, Mushroom Bisque with Porcini|None|14 ounces|4.08
Jarritos Soda, Fruit Punch|None|12.5 ounces|1.01
Applegate Naturals Chicken Patties|None|4|9.19
Cascadian Farm Premium Organic California-Style Blend|None|10 ounces|3.36
Ghirardelli Baking Bar, Premium, 70% Cacao Extra Bittersweet Chocolate|None|4 ounces|3.57
Dog n Suds Root Beer, Drive-in Style|None|12 ounces|1.31
Argires Raw Pecan Halves|None|10 ounces|9.50
Organic Valley Half & Half|None|1 quart|3.99
Philadelphia Cream Cheese, Original|None|8 ounces|3.88
Johnsonville Sausage, Breakfast, Vermont Maple Syrup|None|12 ounces|4.59
Adam Brothers Family Farms Romaine Hearts|None|3|1.79
Siggi's Icelandic Style Skyr Plain Strained Non-fat Yogurt|None|24 ounces|6.12
Turmeric Root|4.99|None|None
Spice Supreme Basil Leaves|None|0.75 ounces|1.01
Lofthouse Cookies, Soft and Chewy, Oatmeal Raisin|None|15 ounces|3.77
Cabot Butter, Unsalted|None|4|4.08
Domino Sugar, Pure Cane, Quick Dissolve Superfine|None|12 ounces|3.67
Stonefire Naan, Tandoor Baked, Garlic|None|8.8 ounces|2.65
Barilla Farfalle, n.65|None|1 pound|2.03
Organic Carrots (Bunch)|None|None|1.79
Entenmanns Cake, Chocolate Fudge|None|19 ounces|6.64
Parsnips|1.79|None|None
Dannon Yogurt, Whole Milk, Plain|None|32 ounces|4.08
La Preferida Hot Sauce, Louisiana Style|None|6 ounces|1.11
Entenmanns Donuts, Classic, Variety Pack|None|8|5.61
Lightlife Gimme Lean Veggie Sausage|None|14 ounces|5.41
Alessi Neapolitan Bean Soup, Pasta Fazool|None|6 ounces|3.06
Greek Gods Yogurt, Greek, Honey|None|24 ounces|4.69
Colavita Olive Oil, Extra Virgin|None|17 ounces|11.85
Alessi Vinegar, Italian White Wine|None|12.75 ounces|2.75
Nongshim Noodle Soup, Shin Ramyun, Gourmet Spicy|None|4.2 ounces|1.73
Valentina Mexican Hot Sauce, Salsa Picante|None|12.5 ounces|1.32
Hometown Bagel Chicago Style Bagels, Everything|None|18 ounces|3.57
Lindt Excellence Dark Chocolate, A Touch of Sea Salt|None|3.5 ounces|3.06
Florida's Natural Premium Grapefruit Juice Ruby Red|None|None|5.10
Barilla Sauce, Traditional|None|24 ounces|3.06
Alexia Julienne Fries, Sweet Potato|None|15 ounces|3.57
Brownberry Bread, Country White|None|24 ounces|3.88
SunButter Sunflower Butter, Creamy|None|16 ounces|6.94
Cabot Premium Cream Cheese|None|None|2.03
Butter Lettuce|None|None|2.99
Haagen-Dazs Destination Series Belgian Chocolate Ice Cream|None|14 ounces|5.10
Grey Poupon Mustard, Dijon|None|8 ounces|3.57
Jicama|0.79|1|None
Tassos Olive Oil, Extra Virgin|None|17 ounces|7.56
LaCroix Water, Sparkling, Natural Lime Flavored|None|6|5.82
Knorr Beef Bouillon, Extra Large Cubes|None|6|1.32
Philadelphia Cream Cheese Spread, Whipped, Original|None|8 ounces|3.88
Lays Potato Chips, Classic, Family Size!|None|10.25 ounces|4.39
Earthbound Farm Organic Celery Hearts|None|1 pound|2.99
Organic Valley Heavy Whipping Cream|None|8 ounces|1.99
Organic Valley Cream Cheese Spread|None|8 ounces|2.99
Sun Maid Raisins, California Golden|None|15 ounces|5.10
Barilla Gluten Free Rotini|None|12 ounces|3.36
Sabra Hummus, Supremely Spicy|None|10 ounces|3.67
Egglands Best Cage Free Eggs, Brown, Organic, Grade A, Large - 1 Dozen|None|None|4.69
Spice Supreme Italian Seasoning|None|0.75 ounces|1.01
Organic Red Leaf Lettuce|None|None|1.79
Boars Head Cheese, Sharp Wisconsin Cheddar|None|None|5.10
Stonyfield Farm Organic Yogurt, Lowfat, Smooth & Creamy, Plain|None|32 ounces|5.00
Udis Gluten Free Bagels, Soft & Chewy, Plain|None|13.9 ounces|6.12
La Preferida Organic Pinto Beans|None|15 ounces|2.03
Quaker Grits, Quick 5-Minute|None|24 ounces|3.09
Ball Park Hot Dog Buns, Pre-Sliced|None|8|3.57
Entenmanns Donuts, Crumb Topped|None|8|5.61
Jarritos Soda, Mandarin|None|12.5 ounces|1.09
Tates Bake Shop Cookies, Chocolate Chip Walnut|None|7 ounces|5.09
Earth Balance Buttery Spread, with Olive Oil|None|13 ounces|5.10
Mestemacher Bread, Natural Sunflower Seed|None|17.6 ounces|4.39
La Preferida Corn, Whole Kernel|None|15 ounces|1.32
Spice Supreme Chives|None|0.25 ounces|1.01
Spice Supreme Paprika|None|2.5 ounces|1.01
Supreme Choice Pollock, Boneless, Fillets|None|16 ounces|3.67
Haagen Dazs Ice Cream, Vanilla Bean|None|14 ounces|5.10
Sabra Hummus, Sun Dried Tomato|None|10 ounces|3.67
Marukan Organic Rice Vinegar|None|12 ounces|4.39
Tanimura & Antle Lettuce, Artisan|None|4|3.59
Lay's Potato Chips Lightly Salted|None|7.75 ounces|3.49
Amys Soup, Low Fat, Organic, Cream of Tomato|None|14.5 ounces|3.57
Balocco Wafers, Nocciola|None|8.75 ounces|2.75
Cedars Organic Hommus, Original|None|8 ounces|3.88
Ka Me Lo Mein Noodles, Wide|None|8 ounces|2.55
Tumaros Low in Carbs Gourmet Tortillas, Salsa|None|10|3.26
Roland Curry Paste, Red|None|6.8 ounces|3.88
LaCroix Water, Sparkling, Natural Lemon Flavored|None|6|5.82
Forager Cashewgurt, Organic, Vanilla Bean|None|5.3 ounces|1.83
Cabot Whipped Cream, Sweetened, Light|None|7 ounces|3.06
Organic Valley Lactose Free Fat Free Milk|None|0.5 gallons|5.99
Red Leaf Lettuce|None|None|0.99
Tates Bake Shop Cookies, White Chocolate, Macadamia Nut|None|7 ounces|5.09
Supreme Choice Ocean Perch, Boneless, Fillets|None|16 ounces|5.20
Marukan Vinegar Genuine Brewed Rice|None|12 ounces|3.06
Fage Total Yogurt, Greek Strained, Nonfat|None|17.6 ounces|5.10
Brownberry Whole Grains 100% Whole Wheat Bread|None|24 ounces|3.89
Cedars Hommus, Original|None|16 ounces|5.41
S & B Wasabi|None|1.52 ounces|3.06
Organic Valley Free Range Extra-Large Eggs Brown|None|6|2.99
Rice Select Texmati Rice, Long Grain, American Basmati|None|32 ounces|6.84
Near East Rice Pilaf Mix, Roasted Chicken & Garlic Flavor|None|6.3 ounces|3.06
Lightlife Tempeh, Organic, Original|None|8 ounces|3.06
Ice Mountain Water, 100% Natural Spring|None|1 gallon|2.05
Osem Couscous Toasted Pasta Original|None|2.1 pounds|2.03
Ball Park Hamburger Buns, Pre-Sliced|None|8|3.57
Ritter Sport Milk Chocolate, with Whole Hazelnuts, Knick-Pack|None|3.5 ounces|4.06
Ancient Harvest Organic Inca Red Grains Quinoa|None|120 ounces|7.86
Curly Parsley|None|None|0.89
Egg Lands Best Eggs, Grade A, Brown, Large|None|12|3.26
Mustard Greens|0.79|None|None
Boar's Head Roast Beef London Broil|11.75|None|None
Muir Glen Organic Tomatoes, Fired Roasted, Crushed|None|28 ounces|3.57
Carr's Cracked Pepper Table Water Crackers|None|4.25 ounces|4.08
Haagen Dazs Ice Cream, Butter Pecan|None|14 ounces|5.10
Roland Water Chestnuts, Sliced|None|8 ounces|1.42
DiGiorno Pizza, Original Rising Crust, Four Cheese|None|28.2 ounces|8.17
Barilla Fettuccine, No. 6|None|1 pound|2.03
San J Tamari, Reduced Sodium|None|10 ounces|3.47
Kikkoman Marinade & Sauce, Teriyaki|None|10 ounces|2.99
McIntosh Apples|0.89|None|None
Rosemary|13.99|None|None
Kerrygold Cheese, Reserve Cheddar|None|7 ounces|4.69
BelGioioso Cheese, Fresh Mozzarella, Pearls|None|8 ounces|3.98
Lakewood Fresh Blends 100% Juice, Premium, Cranberry|None|32 ounces|5.10
Original Bagel Bagels, Sesame|None|6|3.06
Greek Gods Yogurt, Greek Style, Black Cherry|None|24 ounces|4.69
Organic Valley Cream Cheese|None|8 ounces|2.99
Naked 100% Juice Smoothie, Red Machine|None|15.2 ounces|4.08
Barilla Cellentani, No. 97|None|1 pound|2.03
Boars Head Frankfurters, Beef, Skinless|None|12.5 ounces|5.10
Maya Kaimal Tikka Masala Mild Indian Simmer Sauce|None|12.5 ounces|6.12
Peanut Butter & Co Peanut Butter, Crunch Time|None|16 ounces|5.10
Ruffles Potato Chips Sour Cream & Onion|None|8.5 ounces|4.39
Brownberryry Honey Whole Wheat Bread|None|None|3.89
Huy Fong Chili Paste, Ground Fresh, Sambal Oelek|None|18 ounces|5.82
La Preferida Taco Seasoning|None|1.25 ounces|0.91
Better than Bouillon Vegetable Base, Seasoned, Premium|None|8 ounces|5.10
Cholula Hot Sauce, Original|None|5 ounces|3.67
Traditional Medicinals Herbal Tea, Organic, Throat Coat, Lemon Echinacea, Caffeine Free, Wrapped Tea Bags|None|16|5.10
Earthbound Farm Organic Sweet Corn|None|10 ounces|3.36
Broccoli Rabe|None|None|2.49
Papaya|0.99|None|None
Kikkoman Soy Sauce, Gluten-Free|None|10 ounces|4.08
Amys Organic Light in Sodium Soup, Lowfat, Butternut Squash|None|14.1 ounces|3.57
Cheetos Cheese Flavored Snacks, Flamin' Hot Flavored, Crunchy|None|8.5 ounces|3.57
So Delicious Dairy Free Coconut Milk Yogurt Alternative Plain|None|None|6.09
Roland Curry Paste, Yellow|None|6.8 ounces|3.88
Organic Valley Milk, Whole|None|1 quart|3.06
Seitenbacher Cereal, Natural, Musli No. 3, for Active People|None|16 ounces|7.15
Hengstenberg Sauerkraut, Bavarian Style|None|24 ounces|2.55
Spice Supreme Comino Molido, Puro|None|3 ounces|1.01
Beefsteak Bread, Hearty Rye, Seeded|None|18 ounces|3.88
Sun Date Dates, California, Pitted|None|10 ounces|3.06
Spice Supreme Minced Onion|None|3.75 ounces|1.01
Boar's Head Ovengold Roasted Breast of Turkey|9.71|None|None
Kerrygold 100% Natural Dubliner Cheese|None|7 ounces|4.69
Chobani Yogurt, Greek, Non-Fat, Blended with Vanilla|None|32 ounces|7.15
Annie's Organic Peace Pasta & Parmesan|None|6 ounces|3.47
So Delicious Creamer, Coconut Milk, French Vanilla|None|1 pint|2.85
Tofurky Italian Deli Slices|None|5.5 ounces|3.06
Cabot Legacy Collection Cheese, Farmhouse Reserve Cheddar|None|6 ounces|2.75
Lakewood Organic 100% Juice, Pure Carrot, with Organic Lemon Juice|None|32 ounces|6.12
Kikkoman Ponzu|None|10 ounces|2.65
Alexia Hashed Browns, Organic, Seasoned Yukon Select Potatoes|None|16 ounces|4.08
Uptons Naturals Seitan, Traditional, in Chunks|None|8 ounces|3.98
Food For Life Ezekiel 4:9 Cereal, Crunchy, Sprouted Grain, Cinnamon Raisin|None|16 ounces|8.17
Peanut Butter & Co Peanut Butter, Smooth Operator|None|16 ounces|5.10
Boar's Head Beef Bologna|7.66|None|None
BelGioioso Cheese, Mascarpone|None|8 ounces|3.77
Fiorucci Hard Salami Smoke Flavor|None|None|3.77
La Preferida Enchilada Sauce, Red Chile, Mild|None|10 ounces|2.03
McCanns Oatmeal, Irish, Maple & Brown Sugar, Instant|None|10|5.82
Near East Couscous Mix, Herbed Chicken Flavor|None|5.7 ounces|3.06
Uptons Naturals Seitan, Italian, in Crumbles|None|8 ounces|3.98
Organic Valley Organic 0% Milkfat Milk|None|0.5 gallons|5.49
Amy's Organic Lentil Soup|None|14.5 ounces|3.67
Dannon Yogurt, Lowfat, Fruit on the Bottom, Blueberry|None|5.3 ounces|1.01
Dannon Yogurt, Lowfat, Fruit on the Bottom, Strawberry|None|5.3 ounces|1.01
Boars Head Sausage, Dry, Hot Sopressata|None|9 ounces|7.15
Amys Organic Soup, Summer Corn & Vegetable|None|14.5 ounces|4.08
Amys Organic Soup, Black Bean Vegetable|None|14.5 ounces|4.08
Sweet Baby Rays Barbecue Sauce, Original, Squeezable|None|18 ounces|3.57
BelGioioso Freshly Shaved Parmesan Cheese|None|5 ounces|3.36
Mestemacher Bread, Natural Pumpernickel|None|17.6 ounces|4.08
Bobs Red Mill Coconut, Unsweetened, Shredded|None|12 ounces|4.39
Silk Soymilk, Chocolate|None|64 ounces|4.59
Alessi Vinegar, Red Wine|None|12.75 ounces|2.75
Vans Waffles, 8 Whole Grains, Multigrain|None|6|3.69
Food For Life Ezekiel 4:9 English Muffins, Sprouted Grain|None|16 ounces|5.41
Aloe Vera Leaves|None|None|1.99
Celery Root|1.99|None|None
Mestemacher Bread, Whole Rye|None|17.6 ounces|4.08
Annie's Naturals Organic Green Garlic Dressing|None|8 ounces|4.80
La Tourangelle Avocado Oil|None|8.45 ounces|8.17
Marzetti Croutons, Baked, Whole Grain|None|5 ounces|2.03
Maple Hill Creamery Cream on Top Vanilla Yogurt|None|6 ounces|1.52
Manischewitz Premium Enriched Egg Noodles, Extra Wide|None|12 ounces|2.55
Natures Path Organic Gluten Free Selections Waffles, Dark Chocolate Chip|None|6|3.88
Maya Kaimal Curry, Madras, Medium|None|12.5 ounces|6.12
Dannon Yogurt, Lowfat, Plain|None|32 ounces|4.08
Kettle Potato Chips, New York Cheddar|None|5 ounces|3.06
Smart Juice 100% Juice Organic Black Mulberry|None|33.8 ounces|6.64
Stonyfield Organic Yo Baby Pear Peach Yogurt with Probiotics|None|6 ounces|5.10
Greek Gods Yogurt, Greek Style, Honey Strawberry|None|24 ounces|4.69
Gia Russa Pasta Sauce, Select, Spicy Alla Vodka|None|24 ounces|6.64
Lays Potato Chips, Classic|None|1.5 ounces|0.71
Follow Your Heart Cheese Alternative, Slices, Garden Herb Style, Dairy Free|None|10|4.59
Spice Supreme  Chopped Onion|None|None|1.01
Michigan Cottage Cheese, Small Curd, 4% Milkfat Minimum|None|15 ounces|3.69
Amy's Organic Chunky Vegetable Soup|None|None|3.99
Italian Grapes|2.99|None|None
Birds Eye C&W Peas, Petite, Early Harvest, No Salt Added|None|16 ounces|3.99
Prairie Farms Cottage Cheese, Small Curd|None|24 ounces|4.59
Marzetti Croutons, Cheese & Garlic|None|5 ounces|2.03
SunButter Sunflower Butter, Natural Crunch|None|16 ounces|6.94
Muir Glen Organic Tomatoes, Diced, with Garlic & Onion|None|14.5 ounces|2.34
The Ginger People Original Gin-Gins|None|1.6 ounces|1.42
Sara Lee Bread, 100% Whole Wheat|None|1 pound|3.06
Lowes Foods Fresh Smart Red Potatoes|None|5 pounds|3.99
Chobani Non-Fat Greek Yogurt With Black Cherry On The Bottom - 5.3 Ounces|None|5.3 ounces|1.01
Alexia Fries, Seasoned, Waffle Cut|None|20 ounces|4.59
Go Veggie Cheese Food Alternative, Pasteurized Process, Cheddar Style Singles|None|12|3.57
Bonne Maman Wild Blueberry Preserve|None|None|5.10
Bonne Maman Preserves, Blackberry|None|13 ounces|5.10
La Preferida Refried Beans, Authentic|None|16 ounces|1.63
Dannon Yogurt, Lowfat, Peach|None|6 ounces|1.01
King Arthur Flour Flour, All-Purpose, Unbleached|None|5 pounds|6.74
Silk Creamer, Original|None|1 pint|2.24
Sabra Hummus, Roasted Garlic|None|10 ounces|3.67
Domino Sugar, Confectioners|None|1 pound|2.08
Chobani Original Plain Non-Fat Greek Yogurt|None|5.3 ounces|1.01
Cento Sardines, Skinless & Boneless|None|4.37 ounces|2.44
California Pizza Kitchen Pizza, Crispy Thin Crust, Sicilian Recipe|None|15.5 ounces|8.17
Boars Head Mustard, Yellow|None|9 ounces|4.08
Kettle Potato Chips, Backyard Barbeque|None|2 ounces|1.52
Organic Valley 2% Milkfat Lactose Free Reduced Fat Milk|None|0.5 gallons|5.99
Roland Olives, Pitted Ripe, Medium|None|6.3 ounces|1.99
Spice Supreme Black Pepper, Whole|None|2 ounces|2.24
Boar's Head Maple Glazed Honey Coat Ham|9.71|None|None
Cascadian Farm Organic Broccoli, Cuts, Premium|None|16 ounces|4.08
Muir Glen Organic Pasta Sauce, Tomato Basil|None|25.5 ounces|4.69
Barilla Orzo|None|1 pound|2.03
Bonne Maman Preserves, Cherry|None|13 ounces|5.10
Naked Protein Smoothie, Double Berry|None|15.2 ounces|4.08
Barilla Spaghetti, Gluten Free|None|12 ounces|3.36
Cento Artichoke Hearts, Quartered & Marinated|None|12 ounces|4.08
Hodgson Mill Yeast, Active Dry|None|0.31 ounces|0.40
Simply Orange 100% Juice, Orange, Calcium & Vitamin D, Pulp Free|None|59 ounces|5.79
Tostitos Salsa Con Queso, Medium|None|15 ounces|5.10
Tates Bake Shop Cookies, Oatmeal Raisin|None|7 ounces|5.09
Chobani Flip Peanut Butter Dream vanilla Low-Fat Greek Yogurt|None|5.3 ounces|1.52
Organic Valley Milk, Reduced Fat, Organic, 2% Milkfat|None|1 quart|2.99
La Preferida Taco Shells, Crunchy|None|12|2.24
Cabot Classic-Cut Shreds Shredded Cheese, Monterey Jack, Classic-Cut Shreds|None|8 ounces|3.06
Lofthouse Delicious Cookies, Chocolate Candy Bites|None|18 ounces|3.77
Boar's Head Maple Glazed Honey Coat Cured Turkey Breast|9.71|None|None
Maple Grove Farms Pancake & Waffle Mix, Buttermilk & Honey|None|24 ounces|4.08
Boars Head Pepperoni|None|6 ounces|2.75
Organic Seedless Cucumber|None|None|3.49
Vigo Yellow Rice, Saffron|None|8 ounces|1.73
Haagen Dazs Ice Cream, Chocolate|None|14 ounces|5.10
Organic Valley Organic Whole Milk|None|0.5 gallons|5.49
Bubbies Bread & Butter Chips|None|33 ounces|7.15
Alessi Pine Nuts|None|1.75 ounces|5.31
Cento Tuna, Solid Pack Light|None|5 ounces|2.75
Stonefire Naan, Tandoor Baked, Original|None|8.8 ounces|2.65
Simply Apple 100% Juice, Pure Pressed, Apple|None|59 ounces|5.79
Tasty Bite Basmati Rice, Organic|None|8.8 ounces|2.55
Tostitos Salsa, Restaurant Style, Medium|None|15.5 ounces|4.08
Food For Life Ezekiel 4:9 Bread, Sprouted Grain, Sesame|None|24 ounces|5.72
De Cecco Bucatini, No. 15|None|15 ounces|1.99
Organic Romaine Lettuce|None|None|1.99
Tarragon|13.99|None|None
Sugardale Hickory Smoked Bacon|None|None|6.12
Bilinskis Chicken Sausage, Organic, Sweet Apple|None|12 ounces|8.17
Birch Benders Paleo Pancake & Waffle Mix|None|12 ounces|5.99
Nasoya Egg Roll Wraps|None|1 pound|2.85
President Cheese, Soft-Ripened, Brie|None|8 ounces|4.99
Amy's Pad Thai|None|9.5 ounces|6.12
Barilla Pasta Plus Multigrain Elbows Pasta|None|None|3.06
Go Veggie Mozzarella Flavor Pasteurized Process Cheese Food Alternative|None|12|3.57
Walkers Shortbread, Pure Butter, Chocolate Scottie Dogs|None|3.9 ounces|4.39
Fage Total Nonfat Strained Greek Yogurt with Blueberry Acai|None|5.3 ounces|1.73
Sapporo Ichiban Noodles & Soup, Japanese Style, Chicken Flavored|None|3.5 ounces|1.01
Philadelphia Cream Cheese Spread, Whipped, Chive|None|7.5 ounces|4.08
Honest Tea, Peach Oo-La-Long|None|16 ounces|1.93
Better than Bouillon Beef Base, Roasted, Premium|None|8 ounces|5.10
Silk French Vanilla Creamer|None|1 pint|2.24
Sidral Mundet Soda, Apple|None|12 ounces|1.09
Natures Path Organic Cereal, Whole O's|None|11.5 ounces|5.61
Gotham Greens Butterhead Lettuce|None|None|4.08
Bruce Cost Unfiltered Original Fresh Ginger Ale|None|12 fluid ounces|2.41
Daikon|1.29|None|None
Kettle Potato Chips, Jalapeno|None|2 ounces|1.52
Cento Chicken Broth, Lower Sodium|None|13.75 ounces|1.22
Sartori Reserve Cheese, Rosemary and Olive Oil Asiago|None|5.3 ounces|5.10
Boars Head Gourmaise, Chipotle, Fiery, Bold|None|8.5 ounces|4.08
Organic Valley Heavy Whipping Cream|None|1 pint|3.29
Michael Angelos Chicken Parmesan|None|11 ounces|4.59
Nestle Pure Life Water, Purified|None|20 ounces|0.81
Alessi Authentico Gnocchi, Di Patate, Premium|None|12 ounces|3.98
Leonard Novelty Bakery Cookies, Chocolate Dipped|None|16 ounces|5.61
Supreme Choice Cod, Boneless, Fillets|None|16 ounces|5.41
Boar's Head Strassburger Brand Liverwurst|7.66|None|None
Mung Bean Sprouts Bean Sprouts|1.99|None|None
Pearson Green Peas|None|None|2.03
Dynasty Mushrooms, Shiitake, Black, Dried|None|1 ounce|2.44
Chobani Yogurt, Greek, Low-Fat, with Apricot on the Bottom|None|5.3 ounces|1.01
Arnoldry Sourdough Bread|None|None|3.88
Cabot Butter, Salted|None|4|4.08
Gardein the Ultimate Beefless Ground|None|13.7 ounces|5.41
Domino Sugar, Dark Brown|None|1 pound|2.03
Kind Healthy Grains Vanilla Blueberry Clusters with Flax Seeds|None|11 ounces|6.74
Muir Glen Organic Tomato Sauce|None|15 ounces|2.34
Tassos Olives, Greek, Pitted Kalamata|None|12.73 ounces|5.51
La Preferida Taco Sauce, Green, Mild|None|7 ounces|2.34
La Preferida Refried Beans, with Mild Green Chiles|None|16 ounces|2.03
Greek Gods Yogurt, Greek Style, Honey Peach|None|24 ounces|4.69
Cabot All Natural Cheese Slices, Cheddar, Sharp|None|8 ounces|3.47
Simply Lemonade Lemonade, with Raspberry|None|59 ounces|5.79
Muir Glen Organic Pasta Sauce, Italian Herb|None|25.5 ounces|4.69
Brownberryry Buttermilk Bread|None|None|3.89
Rold Gold Pretzel Rods|None|12 ounces|3.36
Boars Head Ham Steak, Boneless, Smoked|None|7 ounces|5.00
Earthbound Farm Organic California-Style Blend, Organic|None|10 ounces|3.36
Simply Cranberry Cocktail, Cranberry|None|59 ounces|5.79
Kettle Potato Chips, Sea Salt & Vinegar|None|2 ounces|1.52
De Cecco Cavatappi, No. 87|None|1 pound|1.99
Boar's Head Deli Turkey Breast Salsalito Roasted|9.71|None|None
International Delight Coffee Creamer, Gourmet, Hazelnut|None|16 ounces|3.06
Haagen Dazs Ice Cream, All Natural, Pistachio|None|14 ounces|5.10
Follow Your Heart Dairy Free Provolone Style Slices Cheese Alternative|None|10|4.59
BelGioioso Cheese, Freshly Grated, Parmesan|None|5 ounces|3.36
C & W Spinach, Baby, Chopped|None|16 ounces|3.57
Boar's Head Genoa Salmi|9.71|None|None
Kerrygold Butter, Garlic & Herb|None|3.5 ounces|2.03
Naked Protein Smoothie, Protein Zone|None|15.2 ounces|4.08
Cabot Cheese, Colby Jack|None|8 ounces|2.75
Egglands Best Eggs, Large|None|12|2.96
Florida's Natural Premium Orange Juice with Pulp|None|None|5.10
Bays English Muffins, Sourdough|None|6|4.08
La Preferida Nacho Cheese Sauce, Zesty|None|15 ounces|2.65
Smartfood Popcorn, White Cheddar Cheese|None|9 ounces|4.08
Lifeway Strawberry Kefir Smoothie|None|32 ounces|4.08
Barilla Multigrain Pasta, Rotini, ProteinPlus|None|14.5 ounces|3.06
Baked! Ruffles Potato Crisp Cheddar & Sour Cream|None|6.25 ounces|3.36
Cedar's Pure Ground Sesame Tahini|None|None|5.41
Rold Gold Pretzel Sticks|None|16 ounces|3.36
Chef Martin's Alpine Brand Bratwurst|None|None|7.15
